,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
1024,Toyota,Prado,2020,Diésel,5,Automática,3.0,Camioneta,NA,33000 km,275.000.000,https://carro.mercadolibre.com.co/MCO-924559306-hyundai-atos-prime-2011-_JM#position=17&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Granizal - Medellín
1025,Toyota,Prado,2020,Diésel,5,Automática,3.0,Camioneta,NA,33000 km,275.000.000,https://carro.mercadolibre.com.co/MCO-922634202-mazda-3-sport-touring-_JM#position=18&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Los Colores - Medellín
1026,Renault,Symbol,2010,Gasolina,4,Mecánica,1.6,Sedán,NA,137000 km,21.500.000,https://carro.mercadolibre.com.co/MCO-906782140-mini-cooper-se-electrico-modelo-2022-_JM#position=19&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1027,Nissan,Versa,2020,Plateado,Gasolina,4,Mecánica,1.6,Sedán,17000 km,66.990.000,https://carro.mercadolibre.com.co/MCO-905908029-land-rover-ranger-2018-_JM#position=20&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1028,Mazda,3,2011,Gasolina,4,Mecánica,1.6,Sedán,NA,120000 km,39.000.000,https://carro.mercadolibre.com.co/MCO-938854935-chevrolet-aveo-gti-2008-_JM#position=21&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Dorado - Envigado
1029,Mazda,3,2017,Gasolina,4,Automática,2.0,Sedán,NA,54000 km,67.900.000,https://carro.mercadolibre.com.co/MCO-934786301-chevrolet-vitara-modelo-2010-_JM#position=22&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Copacabana
1030,Renault,Koleos,2011,Negro,Gasolina,5,Mecánica,2.5,Camioneta,113500 km,40.900.000,https://carro.mercadolibre.com.co/MCO-928080391-mazda-2-grand-touring-2016-_JM#position=23&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Las Antillas - Envigado
1031,Volkswagen,Saveiro,2020,Blanco,Gasolina,2,Mecánica,1598,Pick-Up,60091 km,45.900.000,https://carro.mercadolibre.com.co/MCO-924514796-toyota-land-cruiser-lc-200-2019-_JM#position=24&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Las Palmas - Medellín
1032,Lexus,LX,2013,Gasolina,5,Automática,5.7,Camioneta,NA,46000 km,268.000.000,https://carro.mercadolibre.com.co/MCO-922677742-toyota-prado-tx-blindado-2013-_JM#position=25&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1033,Mercedes-Benz,AMG,2022,Blanco,Gasolina,4,Automática,Sedán,NA,0 km,323.900.000,https://carro.mercadolibre.com.co/MCO-918497110-toyota-fj-cruiser-2019-_JM#position=26&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1034,Chevrolet,Sonic,2016,Gasolina,5,Mecánica,1.6,Hatchback,NA,71214 km,39.000.000,https://carro.mercadolibre.com.co/MCO-909700003-kia-sportage-revolution-modelo-2015-_JM#position=27&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Carmelo - Sabaneta
1035,Renault,Logan,2016,Gasolina,4,Mecánica,1.6,Sedán,NA,39000 km,41.000.000,https://carro.mercadolibre.com.co/MCO-938935709-toyota-corolla-xei-2022-_JM#position=28&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1036,BMW,X6,2013,Gasolina,5,Automática,3.0,Camioneta,NA,117000 km,115.900.000,https://carro.mercadolibre.com.co/MCO-938291454-honda-crv-city-plus-2017-_JM#position=29&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1037,Chevrolet,Sonic,2017,Blanco,Gasolina,4,Automática,1.6,Sedán,37400 km,50.000.000,https://carro.mercadolibre.com.co/MCO-937622556-nissan-versa-advance-2016-_JM#position=30&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Itaguí
1038,Fiat,Idea,2011,Gris,Gasolina,5,Mecánica,1.8,Camioneta,145954 km,31.900.000,https://carro.mercadolibre.com.co/MCO-937037103-mazda-cx-5-grand-touring-lx-2022-_JM#position=31&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Robledo - Medellín
1039,Suzuki,S-Cross,2023,Blanco,Gasolina,5,Automática,1400 Turbo,SUV,0 km,106.490.000,https://carro.mercadolibre.com.co/MCO-936964714-mazda-cx-9-grand-touring-lx-2020-_JM#position=32&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Los Colores - Medellín
1040,Mazda,3,2017,Gris,Gasolina,4,Automática,2.0,Sedán,55000 km,64.400.000,https://carro.mercadolibre.com.co/MCO-934358142-subaru-xv-es-cvt-eyesight-2018-_JM#position=33&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Calasanz - Medellín
1041,Porsche,Cayenne,2019,Gasolina,5,Automática,3.0,Camioneta,NA,18000 km,479.900.000,https://carro.mercadolibre.com.co/MCO-933614132-toyota-fortuner-sr5-2014-_JM#position=34&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Centro - Medellín
1042,Chevrolet,Sonic,2015,Dorado,Gasolina,5,Mecánica,1.6,Hatchback,75000 km,37.500.000,https://carro.mercadolibre.com.co/MCO-932850292-ford-raptor-f-150-2014-_JM#position=35&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Los Colores - Medellín
1043,Volkswagen,Fox,2020,Gasolina,5,Automática,1.6,Hatchback,NA,30700 km,54.800.000,https://carro.mercadolibre.com.co/MCO-931847634-toyota-prado-tx-2012-_JM#position=36&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Rionegro
1044,Mercedes-Benz,Clase GLE,2022,Blanco,Híbrido,5,Automática,2999,SUV,30 km,365.000.000,https://carro.mercadolibre.com.co/MCO-929292991-bmw-530-i-2018-_JM#position=37&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1045,Toyota,Prado,2018,Blanco,Diésel,5,Mecánica,3.0,Camioneta,61000 km,259.900.000,https://carro.mercadolibre.com.co/MCO-922575948-honda-civic-ex-2015-_JM#position=38&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,San Diego - Medellín
1046,Mazda,3,2017,Blanco,Gasolina,4,Automática,2.0,Sedán,66000 km,68.000.000,https://carro.mercadolibre.com.co/MCO-913168654-toyota-4-runner-2021-_JM#position=39&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Loma del Chocho - Envigado
1047,Brilliance,V5,2014,Marrón,Gasolina,5,Mecánica,1500 Turbo,Camioneta,120000 km,38.000.000,https://carro.mercadolibre.com.co/MCO-938906919-mazda-3-touring-2016-_JM#position=40&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Laureles - Medellín
1048,Chevrolet,Sail,2017,Gasolina,5,Mecánica,1.4,Hatchback,NA,86000 km,34.500.000,https://carro.mercadolibre.com.co/MCO-938350558-renault-stepway-dynamique-intens-2017-_JM#position=41&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Bello
1049,Nissan,Frontier,2020,Diésel,2,Mecánica,2.5,Pick-Up,NA,29000 km,146.900.000,https://carro.mercadolibre.com.co/MCO-938298303-renault-duster-dynamique-2016-_JM#position=42&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Belén - Medellín
1050,Toyota,Tacoma,2020,Gasolina,4,Automática,3.5,Pick-Up,NA,53000 km,307.000.000,https://carro.mercadolibre.com.co/MCO-938015614-nissan-march-advance-2022-_JM#position=43&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Itaguí
1051,Mercedes-Benz,Clase A,2020,Gasolina,5,Automática,1.4,Hatchback,NA,19000 km,121.900.000,https://carro.mercadolibre.com.co/MCO-936998934-mini-cooper-s-2018-_JM#position=44&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Ciudad Del Rio - Medellín
1052,Ford,Ecosport 2,2020,Blanco,Gasolina,5,Automática,2.0,Camioneta,56000 km,79.490.000,https://carro.mercadolibre.com.co/MCO-934359386-suzuki-swift-hybrid-2022-_JM#position=45&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Belén La Palma - Medellín
1053,Chevrolet,Tracker,2018,Plateado,Gasolina,5,Mecánica,1.8,Camioneta,37000 km,63.990.000,https://carro.mercadolibre.com.co/MCO-934371686-jeep-renegade-sport-plus-2022-_JM#position=46&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Guayabal - Medellín
1054,Mazda,CX-5,2020,Gasolina,5,Automática,2.5,Camioneta,NA,41000 km,124.500.000,https://carro.mercadolibre.com.co/MCO-933360904-chevrolet-aveo-2009-_JM#position=47&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Calasanz - Medellín
1055,Chevrolet,Captiva,2011,Plateado,Gasolina,5,Mecánica,2.4,Camioneta,124000 km,32.900.000,https://carro.mercadolibre.com.co/MCO-931159812-toyota-land-cruiser-1993-_JM#position=48&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1056,Volkswagen,Jetta,2010,Gasolina,4,Mecánica,2.0,Sedán,NA,85000 km,32.900.000,https://carro.mercadolibre.com.co/MCO-914468989-mitsubishi-montero-modelo-1996-_JM#position=1&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,Itaguí
1057,Toyota,Land Cruiser,2022,Blanco,Gasolina,3,Mecánica,4.000,Camioneta,0 km,202.000.000,https://carro.mercadolibre.com.co/MCO-913794587-subaru-xv-hybrid-modelo-2021-_JM#position=2&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
1058,BMW,X6,2019,Blanco,Gasolina,5,Automática,4.4,Camioneta,40300 km,320.900.000,https://carro.mercadolibre.com.co/MCO-913711887-bmw-330i-sportline-modelo-2020-_JM#position=3&search_layout=grid&type=item&tracking_id=0792544b-be87-471f-b67c-44b8c6788860,El Poblado - Medellín
