,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
64,Lexus,LX,2018,Gasolina,5,Automática,5.7,Camioneta,NA,22000 km,700.000.000,https://carro.mercadolibre.com.co/MCO-872495950-lexus-lx-2018-57-570-_JM,Armenia - Quindio
65,Mitsubishi,Outlander 2.4,2023,Rojo,Gasolina,5,Automática,Mecanismo valvular DOHC MIVEC,Camioneta,0 km,145.900.000,https://carro.mercadolibre.com.co/MCO-934359047-mitsubishi-outlander-24-ls-_JM,LUNES A VIERNES DE 8:00 AM A 12:00 Y DE 2:00 PM A 5:30 PM - SABADO DE 8:30 AM A 1:00 PM
66,Ford,Escape,2018,Gasolina,5,Automática,2.0,Camioneta,NA,51000 km,102.000.000,https://carro.mercadolibre.com.co/MCO-920626433-ford-escape-2018-20-titanium-_JM,Armenia - Quindio
67,BMW,Serie 5,2018,Gasolina,4,Automática,2.0,Sedán,NA,61289 km,160.000.000,https://carro.mercadolibre.com.co/MCO-901917652-bmw-serie-5-2018-20-530i-g30-_JM,Armenia - Quindio
68,Kia,Sportage,2019,Gasolina,5,Automática,2.0,Camioneta,NA,87232 km,120.000.000,https://carro.mercadolibre.com.co/MCO-933642687-kia-sportage-2019-20-zenith-aut-_JM,Armenia - Quindio
69,Volkswagen,Amarok,2014,Diésel,4,Mecánica,2.0,Pick-Up,NA,147000 km,85.000.000,https://carro.mercadolibre.com.co/MCO-933633025-volkswagen-amarok-2014-20-andina-_JM,Armenia - Quindio
70,Toyota,Land Cruiser,1992,Gasolina,5,Mecánica,4.0,Camioneta,NA,362000 km,70.000.000,https://carro.mercadolibre.com.co/MCO-900242880-toyota-land-cruiser-1992-40-fj73-_JM,Armenia - Quindio
71,Renault,Clio,2016,Gasolina,5,Mecánica,1.2,Hatchback,NA,90000 km,33.000.000,https://carro.mercadolibre.com.co/MCO-937738523-renault-clio-2016-12-style-ca-_JM,Armenia - Quindio
72,Mazda,1991,2022,Blanco,Gasolina,3,Mecánica,2000,Furgón,375706 km,22.900.000,https://carro.mercadolibre.com.co/MCO-928084285-mazda-b2000-con-furgon-modelo-1991-luv-_JM,Armenia - Quindio
73,Volkswagen,Amarok,2015,Diésel,4,Mecánica,2.0,Pick-Up,NA,95000 km,98.000.000,https://carro.mercadolibre.com.co/MCO-920628878-volkswagen-amarok-2015-20-andina-t-_JM,Armenia - Quindio
74,Hyundai,Elantra,2012,Gasolina,4,Mecánica,1.8,Sedán,NA,110000 km,45.000.000,https://carro.mercadolibre.com.co/MCO-888356775-hyundai-elantra-2012-18l-_JM,Armenia - Quindio
75,Chevrolet,Cruze,2015,Gasolina,4,Mecánica,1.8,Sedán,NA,80000 km,45.500.000,https://carro.mercadolibre.com.co/MCO-936045949-chevrolet-cruze-2015-18-lt-_JM,Armenia - Quindio
76,BMW,M240I CABRIO,2021,Blanco,Gasolina,2,Automática,Convertible,NA,2499 km,195.000.000,https://carro.mercadolibre.com.co/MCO-930443027-bmw-m240i-cabrio-_JM,LUNES A VIERNES DE 8:00 AM A 12:00 Y DE 2:00 PM A 5:30 PM - SABADO DE 8:30 AM A 1:00 PM
77,Hyundai,KONA HIBRIDA,2023,Blanco,Híbrido,5,Automática,GASOLINA-ELÉCTRICO,SUV,0 km,139.990.000,https://carro.mercadolibre.com.co/MCO-931852510-hyundai-kona-hibrida-2023-entrega-inmediata-_JM,Armenia - Quindio
78,Suzuki,S-Presso,2023,Blanco,Gasolina,5,Mecánica,1000,Off-Road,0 km,48.640.000,https://carro.mercadolibre.com.co/MCO-619096669-suzuki-spresso-2023-_JM,OFICINA
79,Suzuki,xl7 gl aut,2022,Gris,Gasolina,5,Automática,1500 cc,Camioneta,0 km,103.180.000,https://carro.mercadolibre.com.co/MCO-619096672-suzuki-xl7-gl-automatica-7-puestos-2023-_JM,lunes a viernes de 8 a 6 pm jornada continua sábado de 8 a 2 pm
80,Suzuki,G.A,2023,Verde,Gasolina,2,Mecánica,1500,Camioneta,0 km,96.670.000,https://carro.mercadolibre.com.co/MCO-619096700-new-jimny-ga-mecanico-entrega-inmediata-_JM,permanente
81,Mitsubishi,OUTLANDER 2.4 LS,2023,Plateado,Gasolina,5,Automática,Mecanismo valvular DOHC MIVEC,Camioneta,0 km,145.900.000,https://carro.mercadolibre.com.co/MCO-922936472-mitsubishi-outlander-24-ls-_JM,Armenia - Quindio
82,Ford,Escape,2016,Gris,Gasolina,5,Automática,Camioneta,NA,127000 km,75.000.000,https://carro.mercadolibre.com.co/MCO-923364280-ford-_JM,Armenia - Quindio
83,Renault,Duster,2016,Gris,Gasolina,5,Mecánica,1.6,Camioneta,125000 km,51.000.000,https://carro.mercadolibre.com.co/MCO-937738621-renault-_JM,Armenia - Quindio
84,Suzuki,Swift,2018,Gasolina,5,Mecánica,1.2,Hatchback,NA,55000 km,37.000.000,https://carro.mercadolibre.com.co/MCO-933615154-suzuki-swift-2018-12-gl-_JM,Armenia - Quindio
85,Hyundai,Getz,2023,Blanco,Gasolina,5,Automática,1600,Hatchback,0 km,66.490.000,https://carro.mercadolibre.com.co/MCO-886945862-hyundai-getz-automatico-2023-entrega-inmediata-_JM,Lunes a Sábado 8 a 6
86,Renault,Sandero,2018,Gris,Gasolina,5,Mecánica,1.6,Hatchback,73000 km,45.000.000,https://carro.mercadolibre.com.co/MCO-937816535-ranault-_JM,Armenia - Quindio
87,Nissan,Qashqai,2015,Blanco,Gasolina,5,Automática,2.0,Camioneta,77000 km,70.000.000,https://carro.mercadolibre.com.co/MCO-937684507-nissan-qashqai-advance-42-mod-2015-_JM,8 am 8 pm
88,Toyota,4Runner,2018,Gasolina,5,Automática,4.0,Camioneta,NA,85000 km,200.000.000,https://carro.mercadolibre.com.co/MCO-912467186-toyota-4runner-2018-40-limited-fl-_JM,Armenia - Quindio
89,Nissan,Patrol,1981,Rojo,Gasolina,3,Mecánica,4.0,Camioneta,87000 km,32.000.000,https://carro.mercadolibre.com.co/MCO-907970782-nissan-patrol-_JM,Filandia - Quindio
90,Suzuki,SWIFT DZIRE,2023,Plateado,Gasolina,5,Mecánica,1200,Sedán,0 km,65.660.000,https://carro.mercadolibre.com.co/MCO-815540595-swift-dzire-automatico-modelo-2023-cel3123816670-_JM,PERMANENTE
91,Chevrolet,Captiva,2013,Gasolina,5,Mecánica,2.4,Camioneta,NA,155000 km,38.000.000,https://carro.mercadolibre.com.co/MCO-915342092-chevrolet-captiva-2013-24-sport-182-hp-_JM,Armenia - Quindio
92,Volkswagen,Gol,2020,Gasolina,5,Automática,1.6,Hatchback,NA,26800 km,49.900.000,https://carro.mercadolibre.com.co/MCO-930649437-volkswagen-gol-2020-16-comfortline-_JM,Armenia - Quindio
93,Volkswagen,Voyage,2019,Gasolina,4,Automática,1.6,Sedán,NA,35500 km,43.500.000,https://carro.mercadolibre.com.co/MCO-930649515-volkswagen-voyage-2019-16-trendline-_JM,Armenia - Quindio
