,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
297,Renault,Duster Oroch,2017,Rojo,Gasolina,5,Mecánica,2000,Camioneta,89876 km,62.500.000,https://carro.mercadolibre.com.co/MCO-922418085-volkswagen-gol-one-16-mec-fwd-2014-254-_JM#position=10&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
298,Toyota,Fortuner,2019,Plateado,Diésel,4,Automática,2.4,Camioneta,65000 km,172.000.000,https://carro.mercadolibre.com.co/MCO-938343578-mini-cooper-s-chili-16-autsec-fwd-2013-203-_JM#position=11&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
299,Ford,Explorer,2017,Negro,Gasolina,5,Automática,3.5,Camioneta,69000 km,124.900.000,https://carro.mercadolibre.com.co/MCO-923998124-volkswagen-amarok-comfortline-20-mec-4x4-2016-344-_JM#position=12&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
300,Mazda,CX-30,2021,Rojo,Gasolina,5,Mecánica,2.0,Camioneta,18700 km,94.000.000,https://carro.mercadolibre.com.co/MCO-939415313-seat-ibiza-reference-2014-_JM#position=13&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Turin - Pereira
301,Toyota,Fortuner,2018,Blanco,Gasolina,5,Automática,2.7,Camioneta,26200 km,175.000.000,https://carro.mercadolibre.com.co/MCO-938278371-bmw-118i-sport-line-r17-15-aut-sec-fwd-2022-901-_JM#position=14&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
302,Toyota,Hilux,2014,Blanco,Diésel,2,Mecánica,2.5,Pick-Up,272555 km,106.000.000,https://carro.mercadolibre.com.co/MCO-938255034-nissan-march-sense-16-aut-fwd-2020-501-_JM#position=15&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
303,Renault,Duster Oroch,2022,Blanco,Gasolina,5,Mecánica,2000,Camioneta,24095 km,89.500.000,https://carro.mercadolibre.com.co/MCO-937030538-renault-19-17-1994-_JM#position=16&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Turin - Pereira
304,Honda,CR-V,2011,Plateado,Gasolina,5,Automática,2.4,Camioneta,115000 km,59.000.000,https://carro.mercadolibre.com.co/MCO-934489455-bmw-x3-xdrive-20d-20-autsec-awd-2018-131-_JM#position=17&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
305,Volkswagen,Jetta,2014,Blanco,Gasolina,4,Mecánica,2.0,Sedán,151000 km,57.000.000,https://carro.mercadolibre.com.co/MCO-927964671-bmw-x3-drive-30-d-30-aut-sec-awd-2017-138-_JM#position=18&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,Providencia - Pereira
306,Renault,Stepway,2019,Gris,Gasolina,5,Mecánica,1600,Hatchback,63898 km,53.500.000,https://carro.mercadolibre.com.co/MCO-926510799-toyota-fortuner-27l-4x2-2009-_JM#position=19&search_layout=grid&type=item&tracking_id=3e951526-7183-4f41-bf0a-3a0a5c7db3aa,30 de Agosto - Pereira
