,Marca,Modelo,Año,Color,Tipo de combustible,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Link,Ubicación
233,Mazda,2,2017,Gasolina,5,Automática,1.5,Hatchback,NA,62600 km,61.000.000,https://carro.mercadolibre.com.co/MCO-925618408-mazda-2-2017-15-grand-touring-_JM,Manizales - Caldas
234,Renault,Captur,2018,Gasolina,5,Automática,2.0,Camioneta,NA,59000 km,71.000.000,https://carro.mercadolibre.com.co/MCO-931409617-renault-captur-2018-20-intens-automatica-_JM,Manizales - Caldas
235,Renault,Captur,2020,Gasolina,5,Mecánica,2.0,Camioneta,NA,25000 km,75.000.000,https://carro.mercadolibre.com.co/MCO-937622985-renault-captur-2020-20-zen-mecanica-_JM,Manizales - Caldas
236,Mazda,3,2016,Rojo,Gasolina,4,Automática,2.0,Sedán,77000 km,62.000.000,https://carro.mercadolibre.com.co/MCO-933942523-mazda-3-touring-_JM,Centro - Manizales - Caldas
237,Toyota,Land Cruiser,1977,Gris,Diésel,3,Mecánica,4.2,Camioneta,90000 km,50.000.000,https://carro.mercadolibre.com.co/MCO-933615161-toyota-land-cruiser-1977-28-turbo-diesel-fj43-_JM,Manizales - Caldas
238,Toyota,Prado,2012,Gasolina,5,Mecánica,2.7,Camioneta,NA,120000 km,137.000.000,https://carro.mercadolibre.com.co/MCO-930139765-toyota-prado-2012-27-tx-sumo-_JM,Manizales - Caldas
239,Mazda,3,2017,Gasolina,4,Automática,2.0,Sedán,NA,60200 km,66.500.000,https://carro.mercadolibre.com.co/MCO-929335469-mazda-3-2017-20-touring-_JM,Manizales - Caldas
240,Audi,Q3,2013,Gris,Gasolina,5,Automática,2.0,Camioneta,67146 km,72.000.000,https://carro.mercadolibre.com.co/MCO-926168116-audi-q3-ambition-_JM,Palermo - Manizales - Caldas
241,Chevrolet,Tracker,2017,Gasolina,5,Automática,1.8,Camioneta,NA,60500 km,59.000.000,https://carro.mercadolibre.com.co/MCO-924865979-chevrolet-tracker-2017-18-lt-automatica-4x2-_JM,Manizales - Caldas
242,Volkswagen,Saveiro,2020,Gasolina,2,Automática,1.6,Pick-Up,NA,26600 km,51.000.000,https://carro.mercadolibre.com.co/MCO-922835439-volkswagen-saveiro-2020-16l-_JM,Manizales - Caldas
243,Toyota,Hilux,2010,Diésel,2,Mecánica,3.0,Pick-Up,NA,149000 km,109.000.000,https://carro.mercadolibre.com.co/MCO-937655510-toyota-hilux-2010-30-srv-_JM,Manizales - Caldas
244,Renault,Duster,2016,Gasolina,5,Mecánica,2.0,Camioneta,NA,66000 km,55.000.000,https://carro.mercadolibre.com.co/MCO-939277807-renault-duster-2016-20-dynamique-4x4-_JM,Manizales - Caldas
245,Jeep,Wrangler,2013,Gasolina,5,Mecánica,3.6,Camioneta,NA,85000 km,140.000.000,https://carro.mercadolibre.com.co/MCO-936998145-jeep-wrangler-2013-36-sport-_JM,Manizales - Caldas
246,Mazda,CX-5,2020,Gris,Gasolina,5,Automática,2.5,Camioneta,20000 km,125.000.000,https://carro.mercadolibre.com.co/MCO-936174906-mazda-cx5-grand-touring-2020-_JM,Aguadas - Caldas
247,Chevrolet,Sprint,1994,Gasolina,5,Mecánica,1.0,Hatchback,NA,37374 km,10.500.000,https://carro.mercadolibre.com.co/MCO-932256437-chevrolet-sprint-1994-10-_JM,Manizales - Caldas
248,Toyota,Fortuner,2012,Gasolina,5,Mecánica,2.7,Camioneta,NA,122 km,95.000.000,https://carro.mercadolibre.com.co/MCO-930174233-toyota-fortuner-2012-27l-4x2-_JM,Manizales - Caldas
249,Mazda,3,2020,Gasolina,4,Automática,2.0,Sedán,NA,17300 km,94.000.000,https://carro.mercadolibre.com.co/MCO-922840766-mazda-3-2020-20-grand-touring-_JM,Manizales - Caldas
250,Hyundai,HB20S,2022,Plateado,Gasolina,4,Mecánica,1.6,Sedán,1995 km,58.000.000,https://carro.mercadolibre.com.co/MCO-927107836-hyundai-hb20s-_JM,Versalles - Manizales - Caldas
251,Nissan,Qashqai,2012,Gasolina,5,Mecánica,2.0,Camioneta,NA,135000 km,55.000.000,https://carro.mercadolibre.com.co/MCO-933638685-nissan-qashqai-2012-20l-4wd-_JM,La Dorada - Caldas
252,Audi,Q5,2019,Blanco,Gasolina,5,Automática,2000,SUV,44500 km,145.000.000,https://carro.mercadolibre.com.co/MCO-939039447-audi-q5-modelo-2019-_JM,Palermo - Manizales - Caldas
253,Chevrolet,Optra,2009,Gasolina,4,Mecánica,1.6,Sedán,NA,146000 km,22.000.000,https://carro.mercadolibre.com.co/MCO-938964860-chevrolet-optra-2009-16-advance-_JM,La Dorada - Caldas
254,Chevrolet,Captiva,2012,Gasolina,5,Mecánica,2.4,Camioneta,NA,93400 km,42.000.000,https://carro.mercadolibre.com.co/MCO-938207653-chevrolet-captiva-2012-24-sport-169-hp-_JM,Manizales - Caldas
